X_id,LICENSED_SPACES,PARKING_TYPE,STREETNAME,STREETNO,WARD
2478454,1,Widened Driveway,BALSAM AVE,17,19
2478455,2,Widened Driveway,BALSAM AVE,170,19
2478456,1,Widened Driveway,BALSAM AVE,171,19
2478457,1,Front Yard,BALSAM AVE,172,19
2478458,1,Widened Driveway,BALSAM AVE,173,19
2478459,1,Front Yard,BALSAM AVE,175,19
2478460,1,Widened Driveway,BALSAM AVE,183,19
2478461,1,Front Yard,BALSAM AVE,19,19
2478462,2,Front Yard,BALSAM AVE,191,19
2478463,1,Front Yard,BALSAM AVE,199,19
2478464,1,Front Yard,BALSAM AVE,20,19
2478465,2,Front Yard,BALSAM AVE,20.5 ,19
2478466,1,Front Yard,BALSAM AVE,217,19
2478467,2,Front Yard,BALSAM AVE,23.5 ,19
2478468,1,Front Yard,BALSAM AVE,24,19
2478469,1,Front Yard,BALSAM AVE,25,19
2478470,1,Front Yard,BALSAM AVE,26,19
2478471,1,Front Yard,BALSAM AVE,27,19
2478472,1,Widened Driveway,BALSAM AVE,31,19
2478473,1,Front Yard,BALSAM AVE,32,19
2478474,2,Front Yard,BALSAM AVE,33,19
2478475,1,Front Yard,BALSAM AVE,34,19
2478476,2,Widened Driveway,BALSAM AVE,36,19
2478477,2,Widened Driveway,BALSAM AVE,50,19
2478478,1,Front Yard,BALSAM AVE,68,19
2478479,1,Widened Driveway,BALSAM AVE,74,19
2478480,1,Front Yard,BALSAM AVE,77,19
2478481,1,Front Yard,BALSAM RD,20,19
2478482,1,Front Yard,BALSAM RD,8,19
2478483,1,Front Yard,BALTIC AVE,2,14
2478484,1,Front Yard,BANFF RD,111,15
2478485,1,Widened Driveway,BANFF RD,112,15
2478486,1,Widened Driveway,BANFF RD,114,15
2478487,1,Widened Driveway,BANFF RD,115,15
2478488,1,Front Yard,BANFF RD,116,15
2478489,1,Front Yard,BANFF RD,117,15
2478490,1,Widened Driveway,BANFF RD,119,15
2478491,1,Front Yard,BANFF RD,122,15
2478492,1,Front Yard,BANFF RD,134,15
2478493,1,Widened Driveway,BANFF RD,151,15
2478494,1,Widened Driveway,BANFF RD,21,15
2478495,1,Widened Driveway,BANFF RD,25,15
2478496,1,Widened Driveway,BANFF RD,26,15
2478497,1,Widened Driveway,BANFF RD,27,15
2478498,1,Widened Driveway,BANFF RD,31,15
2478499,1,Widened Driveway,BANFF RD,32,15
2478500,1,Front Yard,BANFF RD,36,15
2478501,2,Widened Driveway,BANFF RD,37,15
2478502,1,Widened Driveway,BANFF RD,49,15
2478503,1,Front Yard,BANFF RD,52,15
2478504,1,Front Yard,BANFF RD,64,15
2478505,1,Front Yard,BANFF RD,66,15
2478506,1,Front Yard,BANFF RD,70,15
2478507,1,Widened Driveway,BANFF RD,72,15
2478508,1,Front Yard,BANFF RD,73,15
2478509,1,Widened Driveway,BANFF RD,77,15
2478510,1,Front Yard,BANFF ST,79,22
2478511,1,Front Yard,BANK ST,11,9
2478512,1,Front Yard,BANK ST,5,9
2478513,1,Front Yard,BANK ST,7,9
2478514,1,Front Yard,BANSLEY AVE,33,12
2478515,1,Front Yard,BARBARA CRES,1,14
2478516,1,Front Yard,BARKER AVE,100,19
2478517,1,Front Yard,BARKER AVE,104,19
2478518,1,Front Yard,BARKER AVE,107,19
2478519,1,Front Yard,BARKER AVE,109,19
2478520,1,Front Yard,BARKER AVE,110,19
2478521,1,Front Yard,BARKER AVE,114,19
2478522,1,Front Yard,BARKER AVE,118,19
2478523,1,Front Yard,BARKER AVE,121,19
2478524,1,Front Yard,BARKER AVE,134,19
2478525,1,Front Yard,BARKER AVE,140,19
2478526,1,Front Yard,BARKER AVE,142,19
2478527,1,Front Yard,BARKER AVE,144,19
2478528,1,Front Yard,BARKER AVE,154,19
2478529,1,Front Yard,BARKER AVE,177,19
2478530,1,Front Yard,BARKER AVE,185,19
2478531,1,Front Yard,BARKER AVE,187,19
2478532,1,Front Yard,BARKER AVE,189,19
2478533,1,Front Yard,BARKER AVE,193,19
2478534,1,Front Yard,BARKER AVE,196,19
2478535,1,Front Yard,BARKER AVE,53,31
2478536,1,Front Yard,BARKER AVE,56,19
2478537,1,Front Yard,BARKER AVE,59,19
2478538,1,Front Yard,BARKER AVE,60,31
2478539,1,Front Yard,BARKER AVE,61,31
2478540,1,Front Yard,BARKER AVE,66,19
2478541,1,Front Yard,BARKER AVE,67,19
2478542,1,Front Yard,BARKER AVE,68,19
2478543,1,Front Yard,BARKER AVE,73,19
2478544,1,Front Yard,BARKER AVE,77,19
2478545,1,Front Yard,BARKER AVE,80,19
2478546,1,Front Yard,BARKER AVE,82,19
2478547,1,Front Yard,BARKER AVE,85,19
2478548,1,Front Yard,BARKER AVE,88,19
2478549,1,Front Yard,BARKER AVE,90,19
2478550,1,Front Yard,BARKER AVE,92,19
2478551,1,Front Yard,BARKER AVE,97,19
2478552,1,Front Yard,BARKER AVE,98,19
2478553,1,Front Yard,BARKER AVE E,127,19
2478554,1,Front Yard,BARRIE AVE,1,12
2478555,1,Front Yard,BARRIE AVE,10,12
2478556,1,Front Yard,BARRIE AVE,11,12
2478557,1,Front Yard,BARRIE AVE,13,12
2478558,1,Front Yard,BARRIE AVE,14,12
2478559,1,Front Yard,BARRIE AVE,15,12
2478560,1,Front Yard,BARRIE AVE,16,12
2478561,1,Front Yard,BARRIE AVE,17,12
2478562,1,Front Yard,BARRIE AVE,18,12
2478563,1,Front Yard,BARRIE AVE,19,12
2478564,1,Front Yard,BARRIE AVE,20,12
2478565,1,Front Yard,BARRIE AVE,22,12
2478566,1,Front Yard,BARRIE AVE,24,12
2478567,1,Front Yard,BARRIE AVE,3,12
2478568,1,Front Yard,BARRIE AVE,5,12
2478569,1,Front Yard,BARRIE AVE,6,12
2478570,1,Front Yard,BARRIE AVE,7,12
2478571,1,Front Yard,BARRIE AVE,9,12
2478572,1,Front Yard,BARRINGTON AVE,118,19
2478573,1,Front Yard,BARRINGTON AVE,130,19
2478574,1,Front Yard,BARRINGTON AVE,142,19
2478575,1,Front Yard,BARRINGTON AVE,160,19
2478576,1,Front Yard,BARRINGTON AVE,162,19
2478577,1,Front Yard,BARRINGTON AVE,172,19
2478578,1,Front Yard,BARRINGTON AVE,61,19
2478579,1,Front Yard,BARRINGTON AVE,65,19
2478580,1,Front Yard,BARRINGTON AVE,66,19
2478581,1,Front Yard,BARTLETT AVE,103,9
2478582,1,Front Yard,BARTLETT AVE,104,9
2478583,1,Front Yard,BARTLETT AVE,109,9
2478584,1,Front Yard,BARTLETT AVE,119,9
2478585,1,Front Yard,BARTLETT AVE,200,9
2478586,1,Front Yard,BARTLETT AVE,202,9
2478587,1,Front Yard,BARTLETT AVE,204,9
2478588,1,Front Yard,BARTLETT AVE,229,9
2478589,1,Front Yard,BARTLETT AVE,233,9
2478590,1,Front Yard,BARTLETT AVE,237,9
2478591,1,Front Yard,BARTLETT AVE,247,9
2478592,1,Front Yard,BARTLETT AVE,249,9
2478593,1,Front Yard,BARTLETT AVE,251,9
2478594,1,Front Yard,BARTLETT AVE,271,9
2478595,1,Front Yard,BARTLETT AVE,273,9
2478596,1,Front Yard,BARTLETT AVE,275,9
2478597,1,Front Yard,BARTLETT AVE,94,9
2478598,1,Front Yard,BARTLETT AVE,98,9
2478599,1,Front Yard,BARTLETT AVE N,334,9
2478600,1,Front Yard,BARTLETT AVE N,344,9
2478601,1,Front Yard,BARTLETT AVE N,355,9
2478602,1,Front Yard,BARTLETT AVE N,356,9
2478603,1,Front Yard,BARTLETT AVE N,358,9
2478604,2,Front Yard,BARTLETT AVE N,367,9
2478605,1,Front Yard,BARTLETT AVE N,374,9
2478606,1,Front Yard,BARTLETT AVE N,376,9
2478607,1,Front Yard,BARTLETT AVE N,406,9
2478608,1,Front Yard,BARTON AVE,102,11
2478609,1,Front Yard,BARTON AVE,11,11
2478610,1,Front Yard,BARTON AVE,12,11
2478611,2,Front Yard,BARTON AVE,14,11
2478612,1,Front Yard,BARTON AVE,28,11
2478613,1,Front Yard,BARTON AVE,32,11
2478614,1,Front Yard,BARTON AVE,7,11
2478615,2,Front Yard,BARTON AVE,9,11
2478616,1,Front Yard,BARTONVILLE AVE W,3,5
2478617,1,Front Yard,BARTONVILLE AVE W,39,5
2478618,1,Front Yard,BARTONVILLE AVE W,43,5
2478619,1,Front Yard,BARTONVILLE AVE W,5,5
2478620,1,Front Yard,BASTEDO AVE,115,19
2478621,1,Front Yard,BASTEDO AVE,144,19
2478622,1,Widened Driveway,BASTEDO AVE,60,19
2478623,1,Widened Driveway,BASTEDO AVE,66,19
2478624,1,Front Yard,BASTEDO AVE,96,19
2478625,1,Front Yard,BATAVIA AVE,28,5
2478626,1,Front Yard,BATAVIA AVE,30,5
2478627,1,Front Yard,BATAVIA AVE,46,5
2478628,1,Front Yard,BATAVIA AVE,48,5
2478629,1,Front Yard,BATER AVE,31,14
2478630,2,Widened Driveway,BATHURST ST,1707,12
2478631,1,Front Yard,BATHURST ST,841,20
2478632,1,Front Yard,BATHURST ST,853,20
2478633,1,Widened Driveway,BATHURST ST,857,11
2478634,1,Front Yard,BATHURST ST,859,11
2478635,1,Front Yard,BATHURST ST,861,11
2478636,1,Front Yard,BATHURST ST,863,11
2478637,1,Front Yard,BATHURST ST,865,11
2478638,1,Front Yard,BATHURST ST,867,11
2478639,1,Front Yard,BATHURST ST,869,11
2478640,1,Front Yard,BATHURST ST,871,11
2478641,1,Front Yard,BATHURST ST,883,11
2478642,1,Front Yard,BATHURST ST,897,11
2478643,1,Front Yard,BATHURST ST,903,11
2478644,1,Front Yard,BATHURST ST,919,11
2478645,1,Front Yard,BATHURST ST,929,11
2478646,1,Front Yard,BATTENBERG AVE,12,19
2478647,1,Front Yard,BATTENBERG AVE,14,19
2478648,1,Front Yard,BATTENBERG AVE,16,19
2478649,1,Front Yard,BATTENBERG AVE,16.5 ,19
2478650,1,Front Yard,BATTENBERG AVE,17,19
2478651,1,Front Yard,BATTENBERG AVE,19,19
2478652,1,Front Yard,BATTENBERG AVE,2A ,19
2478653,1,Front Yard,BATTENBERG AVE,8,19
2478654,1,Front Yard,BAYLISS AVE,16,5
2478655,1,Front Yard,BAYLISS AVE,18,5
2478656,1,Front Yard,BAYLISS AVE,2,5
2478657,1,Front Yard,BAYLISS AVE,20,5
2478658,1,Front Yard,BAYLISS AVE,22,5
2478659,1,Front Yard,BAYLISS AVE,24,5
2478660,1,Front Yard,BAYVIEW AVE,1861,15
2478661,1,Widened Driveway,BEACH VIEW CRES,72,32
2478662,1,Front Yard,BEACH VIEW CRES,74,19
2478663,1,Widened Driveway,BEACH VIEW CRES,76,32
2478664,1,Widened Driveway,BEACH VIEW CRES,80,32
2478665,1,Widened Driveway,BEACH VIEW CRES,82,32
2478666,1,Front Yard,BEACH VIEW CRES,86,19
2478667,1,Front Yard,BEACONSFIELD AVE,105,9
2478668,1,Boulevard Parking,BEACONSFIELD AVE,112,9
2478669,1,Boulevard Parking,BEACONSFIELD AVE,74,9
2478670,1,Boulevard Parking,BEACONSFIELD AVE,77,9
2478671,1,Widened Driveway,BEATON AVE,12,19
2478672,1,Front Yard,BEATON AVE,16,19
2478673,1,Front Yard,BEATRICE ST,176,11
2478674,1,Front Yard,BEATRICE ST,2A ,11
2478675,1,Front Yard,BEATRICE ST,2B ,11
2478676,1,Front Yard,BEATRICE ST,2C ,11
2478677,1,Widened Driveway,BEATY AVE,15,4
2478678,1,Front Yard,BEATY AVE,24,4
2478679,1,Front Yard,BEATY AVE,63,4
2478680,1,Widened Driveway,BEATY AVE,9,4
2478681,1,Front Yard,BEAUFORT RD,44,19
2478682,1,Front Yard,BEAVER AVE,12,9
2478683,1,Front Yard,BEAVER AVE,13,9
2478684,1,Front Yard,BEAVER AVE,14,9
2478685,1,Front Yard,BEAVER AVE,18,9
2478686,1,Front Yard,BEAVER AVE,2,9
2478687,1,Front Yard,BEAVER AVE,20,9
2478688,1,Front Yard,BEAVER AVE,22,9
2478689,1,Front Yard,BEAVER AVE,24,9
2478690,1,Front Yard,BEAVER AVE,26,9
2478691,1,Front Yard,BEAVER AVE,28,9
2478692,1,Front Yard,BEAVER AVE,30,9
2478693,1,Front Yard,BEAVER AVE,32,9
2478694,1,Front Yard,BEAVER AVE,4,9
2478695,1,Front Yard,BEAVER AVE,50,9
2478696,1,Front Yard,BEAVER AVE,54,9
2478697,1,Front Yard,BEAVER AVE,6,9
2478698,1,Front Yard,BEAVER AVE,80,9
2478699,1,Front Yard,BEAVER AVE,92,9
2478700,1,Front Yard,BEDFORD PARK AVE,120,8
2478701,1,Front Yard,BEDFORD PARK AVE,207,8
2478702,1,Widened Driveway,BEDFORD PARK AVE,219,8
2478703,1,Front Yard,BEDFORD PARK AVE,221,8
2478704,1,Front Yard,BEDFORD RD,103,11
2478705,1,Front Yard,BEDFORD RD,129,11
2478706,1,Front Yard,BEDFORD RD,145,11
2478707,2,Boulevard Parking,BEDFORD RD,253,11
2478708,2,Front Yard,BEECH AVE,104,19
2478709,2,Front Yard,BEECH AVE,106,19
2478710,2,Widened Driveway,BEECH AVE,237,19
2478711,2,Widened Driveway,BEECH AVE,247,19
2478712,1,Widened Driveway,BEECH AVE,256,19
2478713,1,Front Yard,BEECH AVE,261,19
2478714,1,Front Yard,BEECH AVE,262,19
2478715,1,Front Yard,BEECH AVE,263,19
2478716,1,Front Yard,BEECH AVE,266,19
2478717,1,Front Yard,BEECH AVE,268,19
2478718,1,Front Yard,BEECH AVE,272,19
2478719,1,Front Yard,BEECH AVE,274,19
2478720,1,Front Yard,BEECH AVE,276,19
2478721,1,Front Yard,BEECH AVE,278,19
2478722,1,Front Yard,BEECH AVE,282,19
2478723,1,Front Yard,BEECH AVE,284,19
2478724,1,Front Yard,BEECH AVE,294,19
2478725,1,Widened Driveway,BEECH AVE,321,19
2478726,1,Front Yard,BEECHBOROUGH AVE,43,5
2478727,1,Front Yard,BEECHBOROUGH AVE,43A ,5
2478728,1,Front Yard,BEECHBOROUGH AVE,5,5
2478729,1,Front Yard,BEECHWOOD AVE,13,5
2478730,1,Front Yard,BEECHWOOD AVE,26,5
2478731,1,Front Yard,BEECHWOOD AVE,33,5
2478732,1,Front Yard,BEECHWOOD AVE,35,5
2478733,1,Front Yard,BEECHWOOD AVE,40,5
2478734,1,Front Yard,BEECHWOOD AVE,61,5
2478735,1,Front Yard,BEECHWOOD AVE,62,25
2478736,1,Front Yard,BEECHWOOD AVE,75,5
2478737,1,Front Yard,BEECHWOOD DR,1,14
2478738,1,Front Yard,BEECHWOOD DR,3,14
2478739,1,Front Yard,BEECHWOOD DR,39,14
2478740,1,Front Yard,BELCOURT RD,20,15
2478741,1,Widened Driveway,BELCOURT RD,26,15
2478742,1,Front Yard,BELCOURT RD,28,15
2478743,1,Front Yard,BELCOURT RD,36,15
2478744,1,Front Yard,BELCOURT RD,40,15
2478745,1,Front Yard,BELCOURT RD,54,15
2478746,1,Front Yard,BELCOURT RD,56,15
2478747,1,Widened Driveway,BELCOURT RD,58,15
2478748,1,Front Yard,BELGRAVIA AVE,101,8
2478749,1,Front Yard,BELGRAVIA AVE,119,8
2478750,1,Front Yard,BELGRAVIA AVE,121,8
2478751,1,Front Yard,BELGRAVIA AVE,123,8
2478752,1,Front Yard,BELGRAVIA AVE,125,8
2478753,1,Front Yard,BELGRAVIA AVE,127,8
2478754,1,Front Yard,BELGRAVIA AVE,153,8
2478755,1,Front Yard,BELGRAVIA AVE,155,8
2478756,1,Front Yard,BELGRAVIA AVE,157,8
2478757,1,Front Yard,BELGRAVIA AVE,159,8
2478758,1,Front Yard,BELGRAVIA AVE,170,8
2478759,1,Front Yard,BELGRAVIA AVE,206,8
2478760,1,Front Yard,BELGRAVIA AVE,207,8
2478761,1,Front Yard,BELGRAVIA AVE,219,8
2478762,1,Front Yard,BELGRAVIA AVE,22,8
2478763,1,Front Yard,BELGRAVIA AVE,234,8
2478764,1,Front Yard,BELGRAVIA AVE,239,8
2478765,1,Front Yard,BELGRAVIA AVE,24,8
2478766,1,Front Yard,BELGRAVIA AVE,241,8
2478767,1,Front Yard,BELGRAVIA AVE,243,8
2478768,1,Front Yard,BELGRAVIA AVE,245,8
2478769,1,Front Yard,BELGRAVIA AVE,31,8
2478770,1,Front Yard,BELGRAVIA AVE,35,8
2478771,1,Front Yard,BELGRAVIA AVE,38,8
2478772,1,Front Yard,BELGRAVIA AVE,50,8
2478773,1,Front Yard,BELGRAVIA AVE,72,8
2478774,1,Front Yard,BELGRAVIA AVE,86,8
2478775,1,Front Yard,BELGRAVIA AVE,91,8
2478776,1,Front Yard,BELGRAVIA AVE,92,8
2478777,1,Front Yard,BELGRAVIA AVE,95,8
2478778,1,Front Yard,BELGRAVIA AVE,97,8
2478779,1,Front Yard,BELGRAVIA AVE,98,8
2478780,1,Front Yard,BELGRAVIA AVE,99,8
2478781,1,Front Yard,BELGRAVIA BLVD,34,15
2478782,1,Front Yard,BELLE AYRE BLVD,10,15
2478783,1,Front Yard,BELLE AYRE BLVD,26,15
2478784,1,Front Yard,BELLE AYRE BLVD,5,15
2478785,1,Widened Driveway,BELLE AYRE BLVD,9,15
2478786,1,Front Yard,BELLEFAIR AVE,106,19
2478787,1,Front Yard,BELLEFAIR AVE,107,19
2478788,1,Front Yard,BELLEFAIR AVE,109,19
2478789,1,Front Yard,BELLEFAIR AVE,11,19
2478790,1,Front Yard,BELLEFAIR AVE,14,19
2478791,1,Front Yard,BELLEFAIR AVE,17,19
2478792,1,Front Yard,BELLEFAIR AVE,177,19
2478793,1,Front Yard,BELLEFAIR AVE,19,19
2478794,1,Front Yard,BELLEFAIR AVE,21,19
2478795,1,Front Yard,BELLEFAIR AVE,23,19
2478796,2,Front Yard,BELLEFAIR AVE,28,19
2478797,1,Front Yard,BELLEFAIR AVE,35,19
2478798,1,Front Yard,BELLEFAIR AVE,36,19
2478799,1,Front Yard,BELLEFAIR AVE,38,19
2478800,1,Front Yard,BELLEFAIR AVE,41,19
2478801,1,Front Yard,BELLEFAIR AVE,42,19
2478802,1,Front Yard,BELLEFAIR AVE,43,19
2478803,1,Front Yard,BELLEFAIR AVE,47,19
2478804,1,Front Yard,BELLEFAIR AVE,50,19
2478805,1,Front Yard,BELLEFAIR AVE,53,19
2478806,1,Front Yard,BELLEFAIR AVE,59,19
2478807,1,Front Yard,BELLEFAIR AVE,65,19
2478808,1,Front Yard,BELLEFAIR AVE,7,19
2478809,1,Front Yard,BELLEFAIR AVE,72,19
2478810,1,Front Yard,BELLEFAIR AVE,79,19
2478811,1,Front Yard,BELLEFAIR AVE,81,19
2478812,1,Widened Driveway,BELLEFAIR AVE,82,19
2478813,1,Front Yard,BELLEFAIR AVE,85,19
2478814,1,Front Yard,BELLEFAIR AVE,86,19
2478815,1,Front Yard,BELLEFAIR AVE,9,19
2478816,1,Front Yard,BELLEFAIR AVE,91,19
2478817,1,Front Yard,BELLEFAIR AVE,93,19
2478818,2,Front Yard,BELLEFAIR AVE,95,19
2478819,1,Front Yard,BELLEFAIR AVE,97,19
2478820,2,Front Yard,BELLEVUE AVE,2,11
2478821,1,Front Yard,BELLHAVEN RD,10,19
2478822,1,Front Yard,BELLHAVEN RD,14,19
2478823,1,Front Yard,BELLHAVEN RD,34,19
2478824,1,Front Yard,BELLHAVEN RD,36,19
2478825,1,Front Yard,BELLHAVEN RD,60,19
2478826,1,Front Yard,BELLHAVEN RD,64,19
2478827,1,Widened Driveway,BELLHAVEN RD,68,19
2478828,1,Front Yard,BELLWOODS AVE,194,11
2478829,1,Boulevard Parking,BELLWOODS AVE,37,10
2478830,1,Widened Driveway,BELSIZE DR,101,12
2478831,2,Front Yard,BELSIZE DR,103,12
2478832,1,Front Yard,BELSIZE DR,11,12
2478833,1,Widened Driveway,BELSIZE DR,113,12
2478834,1,Widened Driveway,BELSIZE DR,115,12
2478835,1,Front Yard,BELSIZE DR,12,12
2478836,1,Front Yard,BELSIZE DR,123,12
2478837,1,Widened Driveway,BELSIZE DR,125,12
2478838,2,Widened Driveway,BELSIZE DR,129,12
2478839,1,Front Yard,BELSIZE DR,130A ,12
2478840,1,Front Yard,BELSIZE DR,130B ,12
2478841,1,Widened Driveway,BELSIZE DR,135,12
2478842,1,Widened Driveway,BELSIZE DR,136,12
2478843,1,Widened Driveway,BELSIZE DR,14,12
2478844,1,Front Yard,BELSIZE DR,153,12
2478845,1,Widened Driveway,BELSIZE DR,155,12
2478846,1,Front Yard,BELSIZE DR,157,12
2478847,1,Widened Driveway,BELSIZE DR,159,12
2478848,1,Front Yard,BELSIZE DR,16,12
2478849,1,Front Yard,BELSIZE DR,161,12
2478850,1,Front Yard,BELSIZE DR,163,12
2478851,1,Widened Driveway,BELSIZE DR,165,12
2478852,1,Front Yard,BELSIZE DR,173,12
2478853,1,Front Yard,BELSIZE DR,179,12
2478854,2,Front Yard,BELSIZE DR,18,12
2478855,1,Front Yard,BELSIZE DR,19,12
2478856,1,Front Yard,BELSIZE DR,190,15
2478857,1,Widened Driveway,BELSIZE DR,192,15
2478858,1,Widened Driveway,BELSIZE DR,194,15
2478859,1,Front Yard,BELSIZE DR,20,12
2478860,1,Front Yard,BELSIZE DR,200,15
2478861,1,Widened Driveway,BELSIZE DR,205,15
2478862,2,Boulevard Parking,BELSIZE DR,206,15
2478863,1,Widened Driveway,BELSIZE DR,208,15
2478864,1,Widened Driveway,BELSIZE DR,21,12
2478865,1,Front Yard,BELSIZE DR,210,15
2478866,1,Widened Driveway,BELSIZE DR,212,15
2478867,1,Widened Driveway,BELSIZE DR,214,15
2478868,1,Front Yard,BELSIZE DR,216,15
2478869,1,Front Yard,BELSIZE DR,219,15
2478870,1,Widened Driveway,BELSIZE DR,220,15
2478871,2,Widened Driveway,BELSIZE DR,221,15
2478872,1,Widened Driveway,BELSIZE DR,222,15
2478873,1,Front Yard,BELSIZE DR,223,15
2478874,1,Widened Driveway,BELSIZE DR,224,15
2478875,1,Widened Driveway,BELSIZE DR,226,15
2478876,1,Front Yard,BELSIZE DR,228,15
2478877,1,Widened Driveway,BELSIZE DR,23,12
2478878,1,Front Yard,BELSIZE DR,230,22
2478879,1,Widened Driveway,BELSIZE DR,231,15
2478880,1,Front Yard,BELSIZE DR,232,15
2478881,1,Front Yard,BELSIZE DR,234,15
2478882,1,Front Yard,BELSIZE DR,236,15
2478883,1,Front Yard,BELSIZE DR,238,15
2478884,1,Front Yard,BELSIZE DR,243,15
2478885,1,Widened Driveway,BELSIZE DR,245,15
2478886,1,Front Yard,BELSIZE DR,247,15
2478887,1,Front Yard,BELSIZE DR,249,15
2478888,1,Front Yard,BELSIZE DR,25,12
2478889,1,Front Yard,BELSIZE DR,257,15
2478890,1,Widened Driveway,BELSIZE DR,26,12
2478891,1,Widened Driveway,BELSIZE DR,263,15
2478892,1,Widened Driveway,BELSIZE DR,264,15
2478893,1,Widened Driveway,BELSIZE DR,265,15
2478894,1,Widened Driveway,BELSIZE DR,269,15
2478895,2,Widened Driveway,BELSIZE DR,270,15
2478896,1,Widened Driveway,BELSIZE DR,271,15
2478897,1,Front Yard,BELSIZE DR,272,15
2478898,1,Widened Driveway,BELSIZE DR,273,15
2478899,1,Widened Driveway,BELSIZE DR,275,15
2478900,1,Widened Driveway,BELSIZE DR,277,15
2478901,1,Widened Driveway,BELSIZE DR,283,15
2478902,1,Widened Driveway,BELSIZE DR,294,15
2478903,1,Front Yard,BELSIZE DR,297,15
2478904,1,Widened Driveway,BELSIZE DR,298,15
2478905,1,Widened Driveway,BELSIZE DR,299,15
2478906,1,Front Yard,BELSIZE DR,30,12
